lat,lon,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12
-14.5,157.5,4.7054,4.7906,4.1594,4.0334,3.809,3.528,3.7519,4.2034,4.5166,4.6704,4.985,5.4854,6.245,6.169,5.5164,4.9037,4.261,3.8755,4.0586,4.776,5.5771,6.1183,6.421,6.6713,28.13,28.29,28.27,27.91,27.15,26.48,25.56,25.34,25.69,26.41,27.08,27.78,5.81,5.76,6.19,7.06,8.25,9.03,9.28,8.74,8.83,8.16,7.43,6.13
-13.5,157.5,4.4842,4.5276,4.1359,3.8909,3.5746,3.2966,3.4656,3.9924,4.0987,4.4359,4.7287,5.3045,6.0972,6.0612,5.525,4.8847,4.2134,3.8554,4.0306,4.7779,5.3933,5.9981,6.27,6.5273,28.24,28.3,28.33,28.08,27.51,26.99,26.12,25.9,26.2,26.81,27.39,28.0,5.56,5.59,5.72,6.6,8.02,9.0,9.39,8.83,8.99,8.06,7.12,5.85
-12.5,157.5,4.2941,4.1904,4.0087,3.9041,3.4274,3.1358,3.2772,3.7469,3.732,4.1758,4.4736,5.0362,5.9309,5.893,5.4794,4.9003,4.2144,3.8374,4.0085,4.7035,5.2241,5.869,6.0658,6.3564,28.35,28.34,28.34,28.2,27.8,27.37,26.62,26.38,26.69,27.14,27.67,28.16,5.36,5.58,5.35,6.2,7.65,8.84,9.47,8.88,9.02,7.84,6.75,5.51
-11.5,157.5,4.1813,3.8786,3.9144,3.7476,3.3082,2.898,3.0907,3.5282,3.4438,3.9439,4.1592,4.7328,5.821,5.7185,5.4653,4.8698,4.266,3.7913,3.984,4.6774,5.1118,5.735,5.8615,6.1908,28.46,28.35,28.35,28.29,28.05,27.65,27.03,26.81,27.11,27.44,27.9,28.35,5.21,5.6,5.1,5.73,7.22,8.55,9.5,8.89,8.91,7.56,6.3,5.14
-10.5,157.5,3.9264,3.5251,3.697,3.6569,3.0977,2.8313,2.8258,3.2798,3.2546,3.7562,3.9881,4.3788,5.6573,5.4859,5.37,4.8854,4.2132,3.8256,3.9091,4.6003,5.0237,5.6052,5.7307,5.9837,28.52,28.37,28.35,28.37,28.27,27.92,27.41,27.18,27.42,27.67,28.03,28.45,5.06,5.63,4.9,5.31,6.78,8.14,9.37,8.79,8.63,7.22,5.73,4.75
-9.5,157.5,3.7646,3.2906,3.6401,3.7066,3.1889,2.9338,2.6762,3.233,3.4238,3.7517,3.9382,4.2041,5.4727,5.3549,5.3743,5.0071,4.2998,3.9103,3.9386,4.5917,5.1216,5.5973,5.7086,5.8315,28.58,28.4,28.4,28.44,28.43,28.12,27.68,27.44,27.62,27.82,28.15,28.55,4.88,5.56,4.75,4.76,6.12,7.46,8.89,8.38,8.01,6.7,5.14,4.4
-8.5,157.5,3.2909,3.0545,3.3295,3.5006,3.3953,3.0972,2.6383,3.0672,3.4771,3.6086,3.6732,3.6598,5.196,5.251,5.2176,4.9087,4.3961,3.9679,3.8323,4.3625,5.0189,5.4449,5.5279,5.4974,28.15,27.92,27.95,28.01,27.97,27.66,27.21,27.05,27.3,27.54,27.88,28.24,4.78,5.42,4.68,4.42,5.19,6.45,7.81,7.49,6.82,5.83,4.66,4.21
-7.5,157.5,3.3497,2.9971,3.402,3.5767,3.613,3.3286,2.826,3.2258,3.7032,3.7522,3.8134,3.7301,5.2349,5.1835,5.3054,4.973,4.5206,4.0966,3.9422,4.5209,5.171,5.4734,5.5306,5.527,28.42,28.22,28.13,28.22,28.3,28.11,27.79,27.62,27.77,27.94,28.18,28.48,4.63,5.1,4.58,4.19,4.55,5.84,7.07,6.93,6.2,5.25,4.35,3.99
-6.5,157.5,3.4111,2.9405,3.335,3.5765,3.618,3.1951,2.7302,2.9674,3.4318,3.745,3.6326,3.6394,5.2219,5.1655,5.2483,5.0422,4.6406,4.1326,3.991,4.4731,5.0914,5.4845,5.4211,5.4103,28.58,28.39,28.2,28.28,28.43,28.41,28.18,28.03,28.08,28.21,28.38,28.62,4.74,5.16,4.66,4.14,4.3,5.59,6.62,6.72,6.0,4.98,4.18,3.9
-5.5,157.5,3.2695,2.9796,3.3485,3.6907,3.8436,3.5203,3.0523,3.1534,3.582,3.8522,3.7368,3.6348,5.04,5.0585,5.2075,5.1197,4.764,4.3507,4.1974,4.5862,5.1437,5.4667,5.4043,5.2862,28.59,28.39,28.23,28.27,28.44,28.43,28.23,28.13,28.19,28.26,28.4,28.64,4.89,5.33,4.73,4.02,4.02,5.09,5.91,6.1,5.47,4.61,4.0,3.95
-4.5,157.5,3.3504,3.0806,3.437,3.7406,4.109,3.811,3.3576,3.6094,3.8323,4.1556,3.9617,3.8378,5.0501,5.0902,5.239,5.1938,4.9524,4.553,4.4803,4.9018,5.2951,5.6201,5.4756,5.2853,28.56,28.37,28.23,28.24,28.42,28.4,28.25,28.16,28.24,28.31,28.43,28.64,4.97,5.34,4.7,3.96,3.83,4.65,5.25,5.42,5.0,4.32,3.9,4.1
